Rank,Country,Population_2023,YearlyChange,NetChange,Density_per_km2,Land_Area_km2,Migrants_net,Fert_Rate,Median_Age,UrbanPop_pct,WorldShare_pct,Region,Population_per_km2_calc
36,Afghanistan,42239854,2.7,1111083,65,652860,-65846,4.4,17.0,26.0,0.53,Asia,64.69971203627118
138,Albania,2832439,-0.35,-9882,103,27400,-8000,1.4,38.0,67.0,0.04,Europe,103.37368613138686
34,Algeria,45606480,1.57,703255,19,2381740,-9999,2.8,28.0,75.0,0.57,Africa,19.1483873134767
212,American Samoa,43914,-0.81,-359,220,200,-790,2.2,29.0,,0.0,Oceania,219.57
202,Andorra,80088,0.33,264,170,470,200,1.1,43.0,85.0,0.0,Europe,170.4
42,Angola,36684202,3.08,1095215,29,1246700,-1000,5.1,16.0,68.0,0.46,Africa,29.42504371540868
223,Anguilla,15899,0.26,42,177,90,0,1.3,38.0,98.0,0.0,North America,176.65555555555557
200,Antigua and Barbuda,94298,0.57,535,214,440,0,1.6,36.0,28.0,0.0,North America,214.31363636363636
33,Argentina,45773884,0.58,263566,17,2736690,3718,1.9,32.0,94.0,0.57,South America,16.72600257975876
140,Armenia,2777970,-0.09,-2499,98,28470,-5000,1.6,35.0,67.0,0.03,Asia,97.57534246575342
197,Aruba,106277,-0.16,-168,590,180,157,1.2,42.0,45.0,0.0,North America,590.4277777777778
55,Australia,26439111,1.0,261698,3,7682300,139991,1.6,38.0,86.0,0.33,Oceania,3.441561902034547
100,Austria,8958960,0.22,19343,109,82409,19999,1.5,43.0,59.0,0.11,Europe,108.71336868545912
90,Azerbaijan,10412651,0.53,54577,126,82658,0,1.7,32.0,57.0,0.13,Asia,125.97269471799463
177,Bahamas,412623,0.64,2639,41,10010,1000,1.4,33.0,85.0,0.01,North America,41.22107892107892
154,Bahrain,1485509,0.9,13276,1955,760,0,1.8,34.0,,0.02,Asia,1954.6171052631578
8,Bangladesh,172954319,1.03,1767947,1329,130170,-309977,1.9,27.0,41.0,2.15,Asia,1328.680333410156
187,Barbados,281995,0.13,360,656,430,-80,1.6,40.0,32.0,0.0,North America,655.8023255813954
97,Belarus,9498238,-0.39,-36716,47,202910,-4282,1.5,41.0,80.0,0.12,Europe,46.81010300133064
82,Belgium,11686140,0.26,30210,386,30280,23999,1.6,41.0,99.0,0.15,Europe,385.9359313077939
178,Belize,410825,1.37,5553,18,22810,600,2.0,26.0,48.0,0.01,North America,18.01074090311267
77,Benin,13712828,2.7,359964,122,112760,-200,4.8,18.0,48.0,0.17,Africa,121.61074849237318
205,Bermuda,64069,-0.18,-115,1281,50,0,1.4,46.0,94.0,0.0,North America,1281.38
165,Bhutan,787424,0.64,4969,21,38117,300,1.4,29.0,49.0,0.01,Asia,20.658079072329933
80,Bolivia,12388571,1.35,164461,11,1083300,-3000,2.5,24.0,69.0,0.15,South America,11.435955875565401
137,Bosnia and Herzegovina,3210847,-0.7,-22679,63,51000,-500,1.3,42.0,54.0,0.04,Europe,62.95778431372549
144,Botswana,2675352,1.71,45056,5,566730,3000,2.7,24.0,69.0,0.03,Africa,4.720681806151077
7,Brazil,216422446,0.52,1108948,26,8358140,6000,1.6,34.0,88.0,2.69,South America,25.89361341159636
219,British Virgin Islands,31538,0.74,233,210,150,200,1.0,39.0,53.0,0.0,North America,210.25333333333333
176,Brunei,452524,0.78,3522,86,5270,0,1.7,33.0,80.0,0.01,Asia,85.86793168880456
110,Bulgaria,6687717,-1.39,-94236,62,108560,-4800,1.6,45.0,78.0,0.08,Europe,61.60387803979366
59,Burkina Faso,23251485,2.55,577723,85,273600,-24998,4.6,17.0,32.0,0.29,Africa,84.98349780701754
78,Burundi,13238559,2.71,348983,516,25680,2000,4.9,16.0,15.0,0.16,Africa,515.5202102803738
171,Cabo Verde,598682,0.93,5533,149,4030,-1227,1.9,27.0,67.0,0.01,Africa,148.55632754342432
73,Cambodia,16944826,1.06,176984,96,176520,-29998,2.3,27.0,26.0,0.21,Asia,95.9938024019941
53,Cameroon,28647293,2.63,732757,61,472710,-4800,4.3,18.0,58.0,0.36,Africa,60.60225719785915
38,Canada,38781291,0.85,326964,4,9093510,249746,1.5,41.0,81.0,0.48,North America,4.264721873072114
220,Caribbean Netherlands,27148,0.45,122,83,328,100,1.6,40.0,74.0,0.0,North America,82.76829268292683
204,Cayman Islands,69310,0.88,604,289,240,400,1.2,38.0,95.0,0.0,North America,288.7916666666667
117,Central African Republic,5742315,2.92,163171,9,622980,-14716,5.8,15.0,40.0,0.07,Africa,9.217494943657902
67,Chad,18278568,3.13,555253,15,1259200,-2000,6.1,15.0,24.0,0.23,Africa,14.516016518424397
65,Chile,19629590,0.13,25857,26,743532,-71205,1.5,36.0,85.0,0.24,South America,26.400464270535767
2,China,1425671352,-0.02,-215985,152,9388211,-310220,1.2,39.0,65.0,17.72,Asia,151.85761717541286
28,Colombia,52085168,0.41,211144,47,1109500,-175051,1.7,32.0,81.0,0.65,South America,46.944721045516
163,Comoros,852075,1.83,15301,458,1861,-2000,3.8,20.0,33.0,0.01,Africa,457.8586781300376
113,Congo,6106869,2.29,136445,18,341500,-1000,4.0,18.0,70.0,0.08,Africa,17.882486090775988
222,Cook Islands,17044,0.19,33,71,240,-93,2.2,33.0,79.0,0.0,Oceania,71.01666666666667
124,Costa Rica,5212173,0.6,31344,102,51060,3750,1.5,34.0,82.0,0.06,North America,102.07937720329025
130,Croatia,4008617,-0.54,-21741,72,55960,-2000,1.4,44.0,59.0,0.05,Europe,71.63361329521086
85,Cuba,11194449,-0.16,-17742,105,106440,-6000,1.5,41.0,80.0,0.14,North America,105.17144870349493
190,Curaçao,192077,0.48,914,433,444,515,1.6,36.0,77.0,0.0,North America,432.60585585585585
158,Cyprus,1260138,0.69,8650,136,9240,5000,1.3,39.0,65.0,0.02,Asia,136.37857142857143
89,Czech Republic (Czechia),10495295,0.01,1309,136,77240,22011,1.7,43.0,75.0,0.13,Europe,135.87901346452614
